Product Id,Product Handle,Product Title,Product Subtitle,Product Status,Product External Id,Product Description,Product Is Giftcard,Product Discountable,Product Thumbnail,Product Collection Id,Product Type Id,Product Weight,Product Length,Product Height,Product Width,Product Hs Code,Product Origin Country,Product Mid Code,Product Material,Product Created At,Product Updated At,Product Deleted At,Product Image 1,Product Sales Channel 1,Variant Id,Variant Title,Variant Sku,Variant Barcode,Variant Ean,Variant Upc,Variant Allow Backorder,Variant Manage Inventory,Variant Hs Code,Variant Origin Country,Variant Mid Code,Variant Material,Variant Weight,Variant Length,Variant Height,Variant Width,Variant Metadata,Variant Variant Rank,Variant Thumbnail,Variant Product Id,Variant Created At,Variant Updated At,Variant Deleted At,Variant Price KES,Variant Price EUR,Variant Option 1 Id,Variant Option 1 Name,Variant Option 1 Value,Variant Image 1,Variant Price USD
prod_01M07ESCM4526FF8K6E7FWJ89P,amd-ryzen-7-7800x3d,AMD Ryzen 7 7800X3D,,published,,"8-core gaming processor with 3D V-Cache technology. AM5 socket, 105W TDP.",false,true,http://localhost:9000/static/1786957262513-AMD%20Ryzen%207%207800X3D.jpg,pcol_01M07EQPQ2YY6YGE7AM5EGTZNM,,100,,,,,,,,Mon Aug 17 2026 11:53:08 GMT+0300 (East Africa Time),Mon Aug 17 2026 12:01:02 GMT+0300 (East Africa Time),,http://localhost:9000/static/1786957262513-AMD%20Ryzen%207%207800X3D.jpg,sc_01M07EQPDE1ZT30YN298XT8GRB,variant_01M07ESCQRNQWW4HDSFYCVPDAH,Default,CPU-AMD-7800X3D,,,,false,true,,al,,,,,,,,0,,prod_01M07ESCM4526FF8K6E7FWJ89P,Mon Aug 17 2026 11:53:08 GMT+0300 (East Africa Time),Mon Aug 17 2026 13:49:27 GMT+0300 (East Africa Time),,54999,200,opt_01M07ESCM507K5K1EDDJD7RPXN,Default,Default,http://localhost:9000/static/1786957262513-AMD%20Ryzen%207%207800X3D.jpg,
prod_01M07ESCM4FP67PD14SZPYX9VB,nzxt-h5-flow-white,NZXT H5 Flow White,,published,,"Mid-tower ATX case with excellent airflow, supports ATX/mATX/ITX motherboards.",false,true,http://localhost:9000/static/1786957332509-NZXT%20H5%20Flow%20White.jpeg,pcol_01M07EQPQ2YY6YGE7AM5EGTZNM,,6500,,,,,,,,Mon Aug 17 2026 11:53:08 GMT+0300 (East Africa Time),Mon Aug 17 2026 12:02:49 GMT+0300 (East Africa Time),,http://localhost:9000/static/1786957332509-NZXT%20H5%20Flow%20White.jpeg,sc_01M07EQPDE1ZT30YN298XT8GRB,variant_01M07ESCQTCJ08HYH4PKNN06A3,Default,CASE-NZXT-H5-WHT,,,,false,true,,,,,,,,,,0,,prod_01M07ESCM4FP67PD14SZPYX9VB,Mon Aug 17 2026 11:53:08 GMT+0300 (East Africa Time),Mon Aug 17 2026 11:53:08 GMT+0300 (East Africa Time),,12999,,opt_01M07ESCM546J2C50QBVY6NTCG,Default,Default,http://localhost:9000/static/1786957332509-NZXT%20H5%20Flow%20White.jpeg,
prod_01M07ESCM4H7VZK8SWEZXVFK40,msi-mag-z790-tomahawk-wifi,MSI MAG Z790 Tomahawk WiFi,,published,,"LGA1700 ATX motherboard for Intel 13th/14th gen, DDR5 support, PCIe 5.0.",false,true,http://localhost:9000/static/1786957428778-MSI%20MAG%20Z790%20Tomahawk%20WiFi.png,pcol_01M07EQPQ2YY6YGE7AM5EGTZNM,,1600,,,,,,,,Mon Aug 17 2026 11:53:08 GMT+0300 (East Africa Time),Mon Aug 17 2026 12:04:08 GMT+0300 (East Africa Time),,http://localhost:9000/static/1786957428778-MSI%20MAG%20Z790%20Tomahawk%20WiFi.png,sc_01M07EQPDE1ZT30YN298XT8GRB,variant_01M07ESCQS3FT2JWT0YW8T01FB,Default,MB-MSI-Z790-TOM,,,,false,true,,,,,,,,,,0,,prod_01M07ESCM4H7VZK8SWEZXVFK40,Mon Aug 17 2026 11:53:08 GMT+0300 (East Africa Time),Mon Aug 17 2026 11:53:08 GMT+0300 (East Africa Time),,38999,,opt_01M07ESCM5GQQWNGVYZKPJ5WSG,Default,Default,http://localhost:9000/static/1786957428778-MSI%20MAG%20Z790%20Tomahawk%20WiFi.png,
prod_01M07ESCM4JYPS5NHBYEXBJYS3,corsair-rm750e-750w-gold,Corsair RM750e 750W 80+ Gold Fully Modular,,published,,"Fully modular 750W power supply with 80+ Gold efficiency, quiet operation.",false,true,http://localhost:9000/static/1786957509376-Corsair%20RM750e%20750W%2080+%20Gold%20Fully%20Modular.jpeg,pcol_01M07EQPQ2YY6YGE7AM5EGTZNM,,1800,,,,,,,,Mon Aug 17 2026 11:53:08 GMT+0300 (East Africa Time),Mon Aug 17 2026 12:05:09 GMT+0300 (East Africa Time),,http://localhost:9000/static/1786957509376-Corsair%20RM750e%20750W%2080+%20Gold%20Fully%20Modular.jpeg,sc_01M07EQPDE1ZT30YN298XT8GRB,variant_01M07ESCQS43CB1D8T2QX1D6JS,Default,PSU-COR-RM750E,,,,false,true,,,,,,,,,,0,,prod_01M07ESCM4JYPS5NHBYEXBJYS3,Mon Aug 17 2026 11:53:08 GMT+0300 (East Africa Time),Mon Aug 17 2026 11:53:08 GMT+0300 (East Africa Time),,15999,,opt_01M07ESCM524BYBC1ANQD0NDN5,Default,Default,http://localhost:9000/static/1786957509376-Corsair%20RM750e%20750W%2080+%20Gold%20Fully%20Modular.jpeg,
prod_01M07ESCM4KFCWD2GC1XAAYJA9,asus-rog-strix-b650-a-gaming-wifi,ASUS ROG STRIX B650-A Gaming WiFi,,published,,"AM5 ATX motherboard with WiFi 6E, DDR5 support, PCIe 4.0, 4 RAM slots.",false,true,http://localhost:9000/static/1786957578775-ASUS%20ROG%20STRIX%20B650-A%20Gaming%20WiFi.png,pcol_01M07EQPQ2YY6YGE7AM5EGTZNM,,1500,,,,,,,,Mon Aug 17 2026 11:53:08 GMT+0300 (East Africa Time),Mon Aug 17 2026 12:06:36 GMT+0300 (East Africa Time),,http://localhost:9000/static/1786957578775-ASUS%20ROG%20STRIX%20B650-A%20Gaming%20WiFi.png,sc_01M07EQPDE1ZT30YN298XT8GRB,variant_01M07ESCQSNW455CMXFGH4ZF08,Default,MB-ASU-B650-A,,,,false,true,,,,,,,,,,0,,prod_01M07ESCM4KFCWD2GC1XAAYJA9,Mon Aug 17 2026 11:53:08 GMT+0300 (East Africa Time),Mon Aug 17 2026 11:53:08 GMT+0300 (East Africa Time),,32999,,opt_01M07ESCM5YYHQZ07XE6E15QM5,Default,Default,http://localhost:9000/static/1786957578775-ASUS%20ROG%20STRIX%20B650-A%20Gaming%20WiFi.png,
prod_01M07ESCM4QH76DCK2FRYNVASB,samsung-990-pro-2tb-nvme,Samsung 990 PRO 2TB NVMe SSD,,published,,High-speed PCIe 4.0 NVMe M.2 SSD with read speeds up to 7450 MB/s.,false,true,http://localhost:9000/static/1786957168976-Samsung%20990%20PRO%202TB%20NVMe%20SSD.webp,pcol_01M07EQPQ2YY6YGE7AM5EGTZNM,,100,,,,,,,,Mon Aug 17 2026 11:53:08 GMT+0300 (East Africa Time),Mon Aug 17 2026 11:59:29 GMT+0300 (East Africa Time),,http://localhost:9000/static/1786957168976-Samsung%20990%20PRO%202TB%20NVMe%20SSD.webp,sc_01M07EQPDE1ZT30YN298XT8GRB,variant_01M07ESCQT5WCBXWTX8K25R6G4,Default,SSD-SAM-990-2TB,,,,false,true,,,,,,,,,,0,,prod_01M07ESCM4QH76DCK2FRYNVASB,Mon Aug 17 2026 11:53:08 GMT+0300 (East Africa Time),Mon Aug 17 2026 11:53:08 GMT+0300 (East Africa Time),,24999,,opt_01M07ESCM5N6M4F4BFAJZGQ43X,Default,Default,http://localhost:9000/static/1786957168976-Samsung%20990%20PRO%202TB%20NVMe%20SSD.webp,
prod_01M07SVV1DX478EAAMV6QY71XB,nvidia-geforce-rtx-4090-graphics-cards,NVIDIA GeForce RTX 4090 Graphics Cards,,published,,"Experience ultra-high performance gaming, incredibly detailed virtual worlds, unprecedented productivity, and new ways to create.",false,true,http://localhost:9000/static/1786968402975-nvidia-geforce-rtx-4090-graphics-cards.jpg,,,,,,,,,,,Mon Aug 17 2026 15:06:42 GMT+0300 (East Africa Time),Mon Aug 17 2026 15:06:42 GMT+0300 (East Africa Time),,http://localhost:9000/static/1786968402975-nvidia-geforce-rtx-4090-graphics-cards.jpg,sc_01M07EQPDE1ZT30YN298XT8GRB,variant_01M07SVV3TVRFDH670AY4KPE4M,Default,INGEST-NVIDIA-GEFORCE-RTX-4090-GRAPHICS-CARDS,,,,false,true,,,,,,,,,,0,,prod_01M07SVV1DX478EAAMV6QY71XB,Mon Aug 17 2026 15:06:43 GMT+0300 (East Africa Time),Mon Aug 17 2026 15:06:43 GMT+0300 (East Africa Time),,,,opt_01M07SVV1D8XD8WH0PXY5EFPR1,Configuration,Default,http://localhost:9000/static/1786968402975-nvidia-geforce-rtx-4090-graphics-cards.jpg,1599.99
prod_01M07T4ET52QAZA6E2VH1JBAXR,amd-ryzen-9-7950x-desktop-processor,AMD Ryzen™ 9 7950X Desktop Processor,,published,,AMD Ryzen™ 9 7950X with a 16-core processor and 32 threads.,false,true,http://localhost:9000/static/1786968685366-amd-ryzen-9-7950x-desktop-processor.jpg,,,,,,,,,,,Mon Aug 17 2026 15:11:25 GMT+0300 (East Africa Time),Mon Aug 17 2026 15:11:25 GMT+0300 (East Africa Time),,http://localhost:9000/static/1786968685366-amd-ryzen-9-7950x-desktop-processor.jpg,,variant_01M07T4EYCG5R1ZK9MG70VJ4PX,Default,INGEST-AMD-RYZEN-9-7950X-DESKTOP-PROCESSOR,,,,false,true,,,,,,,,,,0,,prod_01M07T4ET52QAZA6E2VH1JBAXR,Mon Aug 17 2026 15:11:25 GMT+0300 (East Africa Time),Mon Aug 17 2026 15:11:25 GMT+0300 (East Africa Time),,,,opt_01M07T4ET5V49XVWT77WHBZ9NM,Configuration,Default,http://localhost:9000/static/1786968685366-amd-ryzen-9-7950x-desktop-processor.jpg,549.99
prod_01M07T4GNR46H2A3CP17KPA92F,amd-ryzen-7-7800x3d-desktop-processor,AMD Ryzen™ 7 7800X3D Desktop Processor,,published,,AMD Ryzen™ 7 7800X3D With AMD V-Cache™ Technology,false,true,http://localhost:9000/static/1786968687281-amd-ryzen-7-7800x3d-desktop-processor.jpg,,,,,,,,,,,Mon Aug 17 2026 15:11:27 GMT+0300 (East Africa Time),Mon Aug 17 2026 15:11:27 GMT+0300 (East Africa Time),,http://localhost:9000/static/1786968687281-amd-ryzen-7-7800x3d-desktop-processor.jpg,,variant_01M07T4GQ764H1JF8Z2SZ2MC2N,Default,INGEST-AMD-RYZEN-7-7800X3D-DESKTOP-PROCESSOR,,,,false,true,,,,,,,,,,0,,prod_01M07T4GNR46H2A3CP17KPA92F,Mon Aug 17 2026 15:11:27 GMT+0300 (East Africa Time),Mon Aug 17 2026 15:11:27 GMT+0300 (East Africa Time),,,,opt_01M07T4GNR0NJDD07KES8DSWCX,Configuration,Default,http://localhost:9000/static/1786968687281-amd-ryzen-7-7800x3d-desktop-processor.jpg,449.99
prod_01M07T4JD60FTEB7H7BQMJ06QJ,amd-ryzen-5-7600,AMD Ryzen™ 5 7600,,published,,AMD Ryzen™ processor for desktops.,false,true,http://localhost:9000/static/1786968689055-amd-ryzen-5-7600.jpg,,,,,,,,,,,Mon Aug 17 2026 15:11:29 GMT+0300 (East Africa Time),Mon Aug 17 2026 15:11:29 GMT+0300 (East Africa Time),,http://localhost:9000/static/1786968689055-amd-ryzen-5-7600.jpg,,variant_01M07T4JEKB96VGQQXBZWMDFKY,Default,INGEST-AMD-RYZEN-5-7600,,,,false,true,,,,,,,,,,0,,prod_01M07T4JD60FTEB7H7BQMJ06QJ,Mon Aug 17 2026 15:11:29 GMT+0300 (East Africa Time),Mon Aug 17 2026 15:11:29 GMT+0300 (East Africa Time),,,,opt_01M07T4JD6X1JN5DE578ZGQ6CP,Configuration,Default,http://localhost:9000/static/1786968689055-amd-ryzen-5-7600.jpg,229.99
